Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7wYhcfgPUyML3FKfLwvBwk,"Calling On You","Pleasures U Like","Jon B.",2001-03-13,280000,61,false,,2025-12-06T05:00:06Z,"r&b,quiet storm","Epic/Edmonds Records Group",0.681,0.375,4,-10.855,0,0.0332,0.159,0,0.0464,0.475,101.113,4
spotify:track:4MXs0QXh8jRkr6u2g6LiPx,"Clubbin'","MH","Marques Houston;Joe Budden;Pied Piper",2019-06-14,243666,44,false,,2025-12-06T05:00:06Z,"r&b,acid jazz,jazz funk","Warner Music Group - X5 Music Group",0.708,0.46,4,-7.9,0,0.142,0.109,0,0.0973,0.27,106.644,3
spotify:track:4XJRpBOG0bU3Nxnvam3FnC,"LOVE YOU BETTER","I NEVER LIKED YOU","Future",2022-04-29,129479,67,true,,2025-12-06T05:00:06Z,"rap","Epic/Freebandz",0.709,0.357,5,-9.289,1,0.214,0.478,0.000294,0.112,0.544,75.494,4
spotify:track:7Fege3yv4dvehB3NdRBGwI,"Banking On Me","Banking On Me","Gunna",2022-02-14,200000,71,true,,2025-12-06T05:00:06Z,"melodic rap","300 Entertainment",0.793,0.308,0,-10.414,0,0.0466,0.613,0.0000168,0.0953,0.46,135.143,4
spotify:track:0sSRLXxknVTQDStgU1NqpY,"Hours In Silence","Her Loss","Drake;21 Savage",2022-11-04,399153,77,true,,2025-12-06T05:00:06Z,"rap","OVO / Republic Records",0.476,0.406,6,-11.144,0,0.0758,0.24,0,0.141,0.12,136.947,4
spotify:track:5nzhL67GpF9szXWg5y509A,"Close Friends (Lil Baby & Gunna)","Drip Harder","Lil Baby",2018-10-05,203881,74,true,,2025-12-06T05:00:06Z,"","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",0.669,0.578,10,-4.669,0,0.374,0.0509,0,0.0796,0.7,158.969,4
spotify:track:1QJb6LWvPXZpTMiqqODqkH,"Prototype","Speakerboxxx/The Love Below","Outkast",2003,326240,58,false,,2025-12-06T05:00:06Z,"southern hip hop,hip hop","Arista",0.643,0.376,9,-7.424,1,0.0426,0.348,0.000335,0.111,0.193,76.002,4
spotify:track:3ewIu3AibUiSiDNS0Ta8Lm,"The Panties","The New Danger","Mos Def",2004-10-12,251213,50,false,,2025-12-06T05:00:06Z,"east coast hip hop,old school hip hop,hip hop","Geffen",0.564,0.532,11,-7.228,1,0.0391,0.545,0.00126,0.238,0.182,85.118,4
spotify:track:3PFaFVWq5wucLu6s4baj9D,"Girl (feat. KAYTRANADA)","Ego Death","The Internet;KAYTRANADA",2015-06-26,416322,63,true,,2025-12-06T05:00:06Z,"alternative r&b,neo soul","Odd Future",0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,4
spotify:track:2TyCAfhwu5tRqFW8VnGMIL,"Don't Touch My Hair (feat. Sampha)","A Seat at the Table","Solange;Sampha",2016-09-30,257538,52,true,,2025-12-06T05:00:06Z,"alternative r&b,neo soul,indie soul","Saint Records/Columbia",0.823,0.411,0,-7.061,1,0.0557,0.409,0.00135,0.649,0.397,90.997,4
spotify:track:48EjSdYh8wz2gBxxqzrsLe,"Cranes in the Sky","A Seat at the Table","Solange",2016-09-30,250970,65,false,,2025-12-06T05:00:06Z,"alternative r&b,neo soul","Saint Records/Columbia",0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4
spotify:track:7yvdp8dqmxExSJwT2fn6Xq,"Binz","When I Get Home","Solange",2019-03-01,111226,58,true,,2025-12-06T05:00:06Z,"alternative r&b,neo soul","Saint Records/Columbia",0.863,0.625,8,-6.323,1,0.313,0.101,0.00000413,0.166,0.456,83.98,4
