Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3596EdDGZEzM9UPr9w2I0w,"trail running","trail running","le gronk",2024-03-15,161311,57,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","aisle filler",0.538,0.0379,4,-22.543,1,0.0306,0.977,0.911,0.0846,0.0422,61.028,4
spotify:track:3J82z7LudT4vCsgj7GfPVV,"Winter Artifacts","Winter Artifacts","Carl Borg",2024-02-27,159652,52,false,,2025-12-12T04:00:19Z,"dark ambient","Moonbike",0.838,0.21,1,-11.881,1,0.0366,0.565,0.945,0.0993,0.609,123.965,4
spotify:track:48nzx6VaEJnPYY3lkHoPK9,"Medusa","Medusa","Twindex;lov sum",2024-08-09,115862,50,false,,2025-12-12T04:00:19Z,"lo-fi","Sleep Tales",0.69,0.167,8,-18.667,1,0.0373,0.921,0.924,0.14,0.118,116.029,4
spotify:track:1UrIQUwOYP1U4c9P2BOYGP,"Dreamwave","Dreamwave","Calmster",2024-04-02,163157,49,false,,2025-12-12T04:00:19Z,"lo-fi","Calmster",0.539,0.218,2,-23.85,0,0.0461,0.955,0.911,0.103,0.0725,144.134,4
spotify:track:08fWv17k9llzVRJ4hxq2aX,"Summer Nights","Summer Nights","Asokiah",2024-06-07,112000,49,false,,2025-12-12T04:00:19Z,"lo-fi","Asokiah",0.794,0.106,2,-12.765,0,0.0484,0.954,0.965,0.115,0.169,119.961,4
spotify:track:5Rcl118NjsWCa1PIQSnztI,"mumbling","mumbling","Meliona",2024-02-09,120990,49,false,,2025-12-12T04:00:19Z,"lo-fi","Meliona",0.584,0.0334,1,-29.296,1,0.0451,0.789,0.94,0.111,0.067,60.019,4
spotify:track:2Hd40y9JK6sTNstfcM91hN,"morning haze","morning haze","skyshapes",2025-04-13,168421,48,false,,2025-12-12T04:00:19Z,"lo-fi","Chill Caterpillar",0.666,0.194,9,-18.583,1,0.0331,0.922,0.888,0.062,0.243,113.964,4
spotify:track:2NWAI9czEGyyB9WZvMgFkI,"énouement","énouement","Hoogway;Lenny Loops",2024-11-22,133846,49,false,,2025-12-12T04:00:19Z,"lo-fi hip hop,lo-fi,lo-fi beats","Hoogway",0.554,0.0496,6,-24.81,1,0.0295,0.972,0.892,0.116,0.0366,103.822,4
spotify:track:3a61DHhrJhe7jpgWrSW0ln,"adjustment","adjustment","Ryder 003",2023-08-27,133226,51,false,,2025-12-12T04:00:19Z,"lo-fi","Ryder 003",0.633,0.0435,6,-24.955,1,0.038,0.898,0.953,0.109,0.0817,110.057,4
spotify:track:0EO2YsUyTRDvXgET97TEsF,"Airy Dream","Airy Dream","poems",2024-09-27,129896,56,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","poems",0.509,0.168,5,-18.382,0,0.0279,0.903,0.519,0.167,0.239,96.936,4
spotify:track:5PXW1rFIHsKhU0LMSkinZn,"at the blue hour","at the blue hour","Lenny Loops;Nokiaa",2024-09-02,104727,55,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi hip hop,lo-fi beats","Lenny Loops",0.655,0.0316,8,-24.113,1,0.0868,0.958,0.955,0.105,0.0978,109.898,4
spotify:track:0SPakj2sm0Q3oJ4rEj9Jhi,"spinal chords","spinal chords","fontatron",2023-08-27,135558,53,false,,2025-12-12T04:00:19Z,"lo-fi","fontatron",0.538,0.0758,4,-26.319,1,0.0372,0.97,0.923,0.103,0.187,115.986,4
spotify:track:5J8OiTo5EjbnLE1t8MIW3r,"Disclosure","Disclosure","amies;Hoffy Beats",2025-01-24,177534,53,false,,2025-12-12T04:00:19Z,"lo-fi hip hop,lo-fi,lo-fi beats,jazz beats","Overgrown Tapes",0.653,0.305,8,-15.891,0,0.0427,0.798,0.938,0.0976,0.222,146.067,4
spotify:track:0cXj6Yndfr7rEPQdpVOI9i,"Kanto","Kanto","JoJo Mojo",2024-03-08,144722,54,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","JoJo Mojo",0.663,0.104,7,-19.989,1,0.0343,0.912,0.924,0.088,0.07,108.057,4
spotify:track:6VPOo6tFLG6RyBcapdfRm3,"lacuna","lacuna","Bcalm;Casiio",2024-09-02,124800,55,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi hip hop,lo-fi beats","Bcalm & Casiio",0.613,0.0296,1,-26.69,1,0.0344,0.979,0.932,0.0887,0.0637,99.936,4
spotify:track:1sVK0sqiifsa3nwqai6crK,"waiting","waiting","Skeptika;wavvzz",2025-02-14,132000,49,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Birds of Paradise Records",0.596,0.171,5,-14.977,0,0.154,0.327,0.948,0.103,0.299,161.232,4
