Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GQSkptlvAiVrqcj6AmLlH,"Wave","Wave","ARIA;James Kaye",2018-11-30,170012,0,true,gianspotify85,2025-01-24T15:07:57Z,"g-house","ARIA",0.732,0.641,7,-5.906,0,0.119,0.0729,0,0.198,0.722,159.963,4
spotify:track:7EQGXaVSyEDsCWKmUcfpLk,"Die Young","Warrior (Expanded Edition)","Kesha",2012-11-30,211920,80,false,gianspotify85,2025-01-24T15:07:57Z,"","Kemosabe Records/RCA Records",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
spotify:track:6cpk00i5TxCqSeqNi2HuIe,"One More Night","Overexposed Track By Track","Maroon 5",2012-01-01,219546,81,false,gianspotify85,2025-01-24T15:07:57Z,"pop","Interscope Records*",0.716,0.821,5,-3.435,0,0.0314,0.0558,0,0.0844,0.618,92.997,4
spotify:track:5rgy6ghBq1eRApCkeUdJXf,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.;Janelle Monáe",2012-02-14,250626,80,false,gianspotify85,2025-01-24T15:07:57Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
spotify:track:3AYcyxEACnmE6d96RPubID,"Thrift Shop (feat. Wanz)","The Heist (Deluxe Edition)","Macklemore & Ryan Lewis;Wanz",2012-10-09,235613,2,true,gianspotify85,2025-01-24T15:07:57Z,"g-funk,west coast hip hop","Macklemore",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Shakira;Freshlyground",2010-05-07,202626,8,false,gianspotify85,2025-01-24T15:07:57Z,"latin pop,afro soul,afropop,dubstep","Epic",0.766,0.873,11,-6.381,0,0.143,0.00627,0,0.0764,0.743,126.988,4
spotify:track:6aIJ7IkWEroAS5LszuFBg5,"Hello - Single Edit","Hello","Martin Solveig;Dragonette",2010-11-01,281469,0,false,gianspotify85,2025-01-24T15:07:57Z,"french house","D:Vision",0.664,0.928,3,-4.211,1,0.0312,0.0245,0.0235,0.0553,0.506,127.979,4
spotify:track:530DSmQqfBxT9R7OtKG4TN,"Sing It Back","Sing It Back","Going Deeper;Maxim Schunk;KOYSINA",2021-04-30,150000,45,false,gianspotify85,2025-01-24T15:07:57Z,"future house,deep house","Soave Records",0.86,0.883,6,-4.338,1,0.155,0.163,0.000101,0.099,0.496,119.974,4
spotify:track:7wMq5n8mYSKlQIGECKUgTX,"Hall of Fame (feat. will.i.am)","#3 Deluxe Version","The Script;will.i.am",2012-09-10,202533,81,false,gianspotify85,2025-01-24T15:07:57Z,"","Epic/Phonogenic",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
spotify:track:0KAiuUOrLTIkzkpfpn9jb9,"Drive By","California 37","Train",2012-04-17,195973,79,false,gianspotify85,2025-01-24T15:07:57Z,"soft pop","Columbia",0.765,0.837,1,-3.113,0,0.032,0.00107,0.0000106,0.0801,0.721,122.028,4
spotify:track:14blxrgE0VWAgv5aF2wWmx,"Good Life","Graduation","Kanye West;T-Pain",2007-09-11,207000,2,true,gianspotify85,2025-01-24T15:07:57Z,"rap","Roc-A-Fella",0.439,0.808,1,-6.881,1,0.346,0.00305,0,0.439,0.487,82.962,4
spotify:track:4h8VwCb1MTGoLKueQ1WgbD,"Wake Me Up","True","Avicii",2013-09-13,247426,9,false,gianspotify85,2025-01-24T15:07:57Z,"edm","Universal Music AB",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:3Dzso9Q2WwupEclqgxBZht,"Pumped Up Kicks","Pumped Up Kicks","Madism;MKJ;Felix Samuel",2020-08-21,145161,65,false,gianspotify85,2025-01-24T15:07:57Z,"tropical house","Soave Records",0.669,0.687,0,-4.753,1,0.043,0.152,0.000016,0.308,0.386,123.903,4
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,"Counting Stars","Native","OneRepublic",2013-01-01,257265,88,false,gianspotify85,2025-01-24T15:07:57Z,"soft pop","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.118,0.474,122.013,4
